group;id;course;semester;grade
1;6;Artificial Intelligence and Robotics;2;11.5
1;6;Artificial Intelligence and Robotics;2;14.7
1;6;Artificial Intelligence and Robotics;2;13.7
1;6;Artificial Intelligence and Robotics;2;10.4
1;6;Artificial Intelligence and Robotics;2;12.2
1;6;Artificial Intelligence and Robotics;2;12.1
1;6;Astroengineering and Planetary Colonization;1;12
1;6;Astroengineering and Planetary Colonization;1;8.5
1;6;Astroengineering and Planetary Colonization;1;8
1;6;Astroengineering and Planetary Colonization;1;8
1;6;Astroengineering and Planetary Colonization;1;6
1;6;Astroengineering and Planetary Colonization;1;10
1;6;Astroengineering and Planetary Colonization;1;11
1;6;Astroengineering and Planetary Colonization;1;11
1;6;Cybernetics and Human Augmentation;1;12
1;6;Cybernetics and Human Augmentation;1;17
1;6;Cybernetics and Human Augmentation;1;16
1;6;Cybernetics and Human Augmentation;1;15
1;6;Cybernetics and Human Augmentation;1;12
1;6;Cybernetics and Human Augmentation;1;11
1;6;Cybernetics and Human Augmentation;1;14
1;6;Cybernetics and Human Augmentation;1;16
1;6;Cybernetics and Human Augmentation;1;11
1;6;Cybernetics and Human Augmentation;1;13
1;6;Energy Harvesting and Sustainability;2;13.3
1;6;Energy Harvesting and Sustainability;2;17.7
1;6;Energy Harvesting and Sustainability;2;13.7
1;6;Energy Harvesting and Sustainability;2;16.2
1;6;Interstellar Travel and Navigation;2;12.5
1;6;Interstellar Travel and Navigation;2;12.5
1;6;Interstellar Travel and Navigation;2;11.5
1;6;Interstellar Travel and Navigation;2;9.5
1;6;Interstellar Travel and Navigation;2;15.5
1;6;Interstellar Travel and Navigation;2;12
1;6;Interstellar Travel and Navigation;2;6.5
1;6;Interstellar Travel and Navigation;2;13.5
1;6;Interstellar Travel and Navigation;2;18.5
1;6;Neurotechnology and Mind Control;1;9.75
1;6;Neurotechnology and Mind Control;1;15.5
1;6;Neurotechnology and Mind Control;1;10.5
1;6;Neurotechnology and Mind Control;1;13
1;6;Neurotechnology and Mind Control;1;12
1;6;Neurotechnology and Mind Control;1;7
1;6;Neurotechnology and Mind Control;1;10
1;6;Neurotechnology and Mind Control;1;12
1;6;Neurotechnology and Mind Control;1;14.25
1;6;Quantum Physics and Time Manipulation;2;12
1;6;Quantum Physics and Time Manipulation;2;11
1;6;Quantum Physics and Time Manipulation;2;8
1;6;Quantum Physics and Time Manipulation;2;12
1;6;Quantum Physics and Time Manipulation;2;9
1;6;Quantum Physics and Time Manipulation;2;10
1;6;Quantum Physics and Time Manipulation;2;10
1;6;Quantum Physics and Time Manipulation;2;9
1;6;Quantum Physics and Time Manipulation;2;9
1;6;Space Law and Ethics;1;7
1;6;Space Law and Ethics;1;9
1;6;Space Law and Ethics;1;4.5
1;6;Space Law and Ethics;1;6.5
1;6;Space Law and Ethics;1;8.5
1;6;Space Law and Ethics;1;6.5
1;6;Space Law and Ethics;1;5.5
1;6;Space Law and Ethics;1;7
1;6;Space Law and Ethics;1;8
1;6;Space Law and Ethics;1;7
1;6;Virtual Reality and Simulated Environments;1;14.4
1;6;Virtual Reality and Simulated Environments;1;17.4
1;6;Virtual Reality and Simulated Environments;1;15.5
1;6;Virtual Reality and Simulated Environments;1;15.8
1;6;Virtual Reality and Simulated Environments;1;12.6
1;6;Virtual Reality and Simulated Environments;1;16.3
1;6;Xenobiology and Extraterrestrial Life;1;11.25
1;6;Xenobiology and Extraterrestrial Life;1;10.75
1;6;Xenobiology and Extraterrestrial Life;1;10.5
1;6;Xenobiology and Extraterrestrial Life;1;15.5
1;35;Artificial Intelligence and Robotics;2;13.9
1;35;Artificial Intelligence and Robotics;2;13.8
1;35;Artificial Intelligence and Robotics;2;12.4
1;35;Artificial Intelligence and Robotics;2;14.2
1;35;Artificial Intelligence and Robotics;2;11.7
1;35;Artificial Intelligence and Robotics;2;14.2
1;35;Artificial Intelligence and Robotics;2;14.2
1;35;Astroengineering and Planetary Colonization;1;6.5
1;35;Astroengineering and Planetary Colonization;1;13.5
1;35;Astroengineering and Planetary Colonization;1;11.5
1;35;Astroengineering and Planetary Colonization;1;11.5
1;35;Astroengineering and Planetary Colonization;1;6.5
1;35;Astroengineering and Planetary Colonization;1;3
1;35;Astroengineering and Planetary Colonization;1;7.5
1;35;Astroengineering and Planetary Colonization;1;14
1;35;Cybernetics and Human Augmentation;1;16
1;35;Cybernetics and Human Augmentation;1;16
1;35;Cybernetics and Human Augmentation;1;13
1;35;Cybernetics and Human Augmentation;1;19
1;35;Cybernetics and Human Augmentation;1;13
1;35;Cybernetics and Human Augmentation;1;13
1;35;Cybernetics and Human Augmentation;1;16
1;35;Cybernetics and Human Augmentation;1;15
1;35;Cybernetics and Human Augmentation;1;15
1;35;Cybernetics and Human Augmentation;1;16
1;35;Energy Harvesting and Sustainability;2;14.5
1;35;Energy Harvesting and Sustainability;2;13.6
1;35;Energy Harvesting and Sustainability;2;12.7
1;35;Energy Harvesting and Sustainability;2;19.7
1;35;Interstellar Travel and Navigation;2;17.5
1;35;Interstellar Travel and Navigation;2;16
1;35;Interstellar Travel and Navigation;2;15.5
1;35;Interstellar Travel and Navigation;2;14
1;35;Interstellar Travel and Navigation;2;14
1;35;Interstellar Travel and Navigation;2;13.5
1;35;Interstellar Travel and Navigation;2;14
1;35;Interstellar Travel and Navigation;2;20
1;35;Interstellar Travel and Navigation;2;14.5
1;35;Interstellar Travel and Navigation;2;10.5
1;35;Neurotechnology and Mind Control;1;9.5
1;35;Neurotechnology and Mind Control;1;12
1;35;Neurotechnology and Mind Control;1;9.25
1;35;Neurotechnology and Mind Control;1;8.5
1;35;Neurotechnology and Mind Control;1;11
1;35;Neurotechnology and Mind Control;1;11.75
1;35;Neurotechnology and Mind Control;1;13.25
1;35;Neurotechnology and Mind Control;1;9.25
1;35;Quantum Physics and Time Manipulation;2;11
1;35;Quantum Physics and Time Manipulation;2;11
1;35;Quantum Physics and Time Manipulation;2;9
1;35;Quantum Physics and Time Manipulation;2;9
1;35;Quantum Physics and Time Manipulation;2;13
1;35;Quantum Physics and Time Manipulation;2;12
1;35;Quantum Physics and Time Manipulation;2;12
1;35;Quantum Physics and Time Manipulation;2;9
1;35;Space Law and Ethics;1;8
1;35;Space Law and Ethics;1;10
1;35;Space Law and Ethics;1;8
1;35;Space Law and Ethics;1;7.5
1;35;Space Law and Ethics;1;8.5
1;35;Space Law and Ethics;1;8.5
1;35;Space Law and Ethics;1;7.5
1;35;Space Law and Ethics;1;5.5
1;35;Space Law and Ethics;1;6
1;35;Space Law and Ethics;1;5
1;35;Virtual Reality and Simulated Environments;1;10
1;35;Virtual Reality and Simulated Environments;1;13.4
1;35;Virtual Reality and Simulated Environments;1;10.9
1;35;Virtual Reality and Simulated Environments;1;14.4
1;35;Virtual Reality and Simulated Environments;1;13
1;35;Virtual Reality and Simulated Environments;1;20
1;35;Xenobiology and Extraterrestrial Life;1;7
1;35;Xenobiology and Extraterrestrial Life;1;7.5
1;35;Xenobiology and Extraterrestrial Life;1;6
1;35;Xenobiology and Extraterrestrial Life;1;10.5
1;35;Xenobiology and Extraterrestrial Life;1;10.5
1;73;Artificial Intelligence and Robotics;2;12.6
1;73;Artificial Intelligence and Robotics;2;10.3
1;73;Artificial Intelligence and Robotics;2;10.2
1;73;Artificial Intelligence and Robotics;2;10.3
1;73;Artificial Intelligence and Robotics;2;13.4
1;73;Astroengineering and Planetary Colonization;1;12.5
1;73;Astroengineering and Planetary Colonization;1;12
1;73;Astroengineering and Planetary Colonization;1;9.5
1;73;Astroengineering and Planetary Colonization;1;10.5
1;73;Astroengineering and Planetary Colonization;1;15.5
1;73;Astroengineering and Planetary Colonization;1;5.5
1;73;Astroengineering and Planetary Colonization;1;13.5
1;73;Cybernetics and Human Augmentation;1;11
1;73;Cybernetics and Human Augmentation;1;6
1;73;Cybernetics and Human Augmentation;1;13
1;73;Cybernetics and Human Augmentation;1;11
1;73;Cybernetics and Human Augmentation;1;14
1;73;Cybernetics and Human Augmentation;1;14
1;73;Cybernetics and Human Augmentation;1;13
1;73;Cybernetics and Human Augmentation;1;15
1;73;Cybernetics and Human Augmentation;1;12
1;73;Cybernetics and Human Augmentation;1;15
1;73;Energy Harvesting and Sustainability;2;8.6
1;73;Energy Harvesting and Sustainability;2;15.1
1;73;Energy Harvesting and Sustainability;2;14.9
1;73;Interstellar Travel and Navigation;2;12
1;73;Interstellar Travel and Navigation;2;15.5
1;73;Interstellar Travel and Navigation;2;9.5
1;73;Interstellar Travel and Navigation;2;11.5
1;73;Interstellar Travel and Navigation;2;15.5
1;73;Interstellar Travel and Navigation;2;5.5
1;73;Interstellar Travel and Navigation;2;9.5
1;73;Interstellar Travel and Navigation;2;9
1;73;Interstellar Travel and Navigation;2;11
1;73;Interstellar Travel and Navigation;2;11.5
1;73;Neurotechnology and Mind Control;1;10.75
1;73;Neurotechnology and Mind Control;1;7.75
1;73;Neurotechnology and Mind Control;1;8.5
1;73;Neurotechnology and Mind Control;1;11.5
1;73;Neurotechnology and Mind Control;1;14.5
1;73;Neurotechnology and Mind Control;1;8
1;73;Neurotechnology and Mind Control;1;10
1;73;Neurotechnology and Mind Control;1;14.75
1;73;Quantum Physics and Time Manipulation;2;8
1;73;Quantum Physics and Time Manipulation;2;8
1;73;Quantum Physics and Time Manipulation;2;10
1;73;Quantum Physics and Time Manipulation;2;9
1;73;Quantum Physics and Time Manipulation;2;10
1;73;Quantum Physics and Time Manipulation;2;10
1;73;Quantum Physics and Time Manipulation;2;13
1;73;Quantum Physics and Time Manipulation;2;5
1;73;Space Law and Ethics;1;7.5
1;73;Space Law and Ethics;1;4.5
1;73;Space Law and Ethics;1;2.5
1;73;Space Law and Ethics;1;6
1;73;Space Law and Ethics;1;4.5
1;73;Space Law and Ethics;1;7.5
1;73;Space Law and Ethics;1;8
1;73;Space Law and Ethics;1;8.5
1;73;Space Law and Ethics;1;6
1;73;Virtual Reality and Simulated Environments;1;13
1;73;Virtual Reality and Simulated Environments;1;13.1
1;73;Virtual Reality and Simulated Environments;1;14.8
1;73;Virtual Reality and Simulated Environments;1;12.5
1;73;Virtual Reality and Simulated Environments;1;14.8
1;73;Virtual Reality and Simulated Environments;1;13.1
1;73;Xenobiology and Extraterrestrial Life;1;7.25
1;73;Xenobiology and Extraterrestrial Life;1;11.5
1;73;Xenobiology and Extraterrestrial Life;1;8.25
1;73;Xenobiology and Extraterrestrial Life;1;7.75
1;73;Xenobiology and Extraterrestrial Life;1;9.75
1;76;Artificial Intelligence and Robotics;2;12.1
1;76;Artificial Intelligence and Robotics;2;13.5
1;76;Artificial Intelligence and Robotics;2;14.7
1;76;Artificial Intelligence and Robotics;2;11.3
1;76;Artificial Intelligence and Robotics;2;15
1;76;Artificial Intelligence and Robotics;2;15.1
1;76;Artificial Intelligence and Robotics;2;14.9
1;76;Astroengineering and Planetary Colonization;1;10.5
1;76;Astroengineering and Planetary Colonization;1;17
1;76;Astroengineering and Planetary Colonization;1;10.5
1;76;Astroengineering and Planetary Colonization;1;9.5
1;76;Astroengineering and Planetary Colonization;1;9
1;76;Astroengineering and Planetary Colonization;1;8
1;76;Astroengineering and Planetary Colonization;1;10.5
1;76;Cybernetics and Human Augmentation;1;14
1;76;Cybernetics and Human Augmentation;1;13
1;76;Cybernetics and Human Augmentation;1;18
1;76;Cybernetics and Human Augmentation;1;16
1;76;Cybernetics and Human Augmentation;1;13
1;76;Cybernetics and Human Augmentation;1;16
1;76;Cybernetics and Human Augmentation;1;14
1;76;Cybernetics and Human Augmentation;1;13
1;76;Cybernetics and Human Augmentation;1;13
1;76;Cybernetics and Human Augmentation;1;11
1;76;Energy Harvesting and Sustainability;2;17.1
1;76;Energy Harvesting and Sustainability;2;14.3
1;76;Energy Harvesting and Sustainability;2;14.4
1;76;Energy Harvesting and Sustainability;2;13
1;76;Interstellar Travel and Navigation;2;17.5
1;76;Interstellar Travel and Navigation;2;12.5
1;76;Interstellar Travel and Navigation;2;7.5
1;76;Interstellar Travel and Navigation;2;13.5
1;76;Interstellar Travel and Navigation;2;14
1;76;Interstellar Travel and Navigation;2;10.5
1;76;Interstellar Travel and Navigation;2;3
1;76;Interstellar Travel and Navigation;2;14.5
1;76;Interstellar Travel and Navigation;2;13.5
1;76;Interstellar Travel and Navigation;2;13.5
1;76;Neurotechnology and Mind Control;1;12.25
